timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672244711883,1481,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-287,text,false,"A operação tomou muito tempo: levou 1.481 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,1480,0,256
1672244711898,1440,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-284,text,false,"A operação tomou muito tempo: levou 1.440 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,1429,0,253
1672244711852,1486,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-294,text,false,"A operação tomou muito tempo: levou 1.486 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,1477,0,608
1672244712168,1168,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-29,text,false,"A operação tomou muito tempo: levou 1.168 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,1156,0,259
1672244712157,1183,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-232,text,false,"A operação tomou muito tempo: levou 1.183 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,1172,0,260
1672244712668,662,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-62,text,false,"A operação tomou muito tempo: levou 662 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,654,0,267
1672244712525,801,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-336,text,false,"A operação tomou muito tempo: levou 801 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,790,0,260
1672244712824,525,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-65,text,false,"A operação tomou muito tempo: levou 525 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,512,0,267
1672244712844,519,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-20,text,false,"A operação tomou muito tempo: levou 519 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,498,0,257
1672244712779,584,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-22,text,false,"A operação tomou muito tempo: levou 584 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,567,0,260
1672244712683,634,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-337,text,false,"A operação tomou muito tempo: levou 634 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,623,0,254
